10, -5, 5, -10, 10, 6, -10, 10, -5, 5, -5, 6
10, -5, 3, 10, -10, 5, -7, 10, 5, -5, 5, -2

6, 10, -5, 5, -10, 10, 6, -10, 10, -5, 5, -5
-2, 10, -5, 3, 10, -10, 5, -7, 10, 5, -5, 5

-5, 6, 10, -5, 5, -10, 10, 6, -10, 10, -5, 5
5, -2, 10, -5, 3, 10, -10, 5, -7, 10, 5, -5

5, -5, 6, 10, -5, 5, -10, 10, 6, -10, 10, -5
-5, 5, -2, 10, -5, 3, 10, -10, 5, -7, 10, 5

-5, 5, -5, 6, 10, -5, 5, -10, 10, 6, -10, 10
5, -5, 5, -2, 10, -5, 3, 10, -10, 5, -7, 10

10, -5, 5, -5, 6, 10, -5, 5, -10, 10, 6, -10
10, 5, -5, 5, -2, 10, -5, 3, 10, -10, 5, -7

-10, 10, -5, 5, -5, 6, 10, -5, 5, -10, 10, 6
-7, 10, 5, -5, 5, -2, 10, -5, 3, 10, -10, 5

6, -10, 10, -5, 5, -5, 6, 10, -5, 5, -10, 10
5, -7, 10, 5, -5, 5, -2, 10, -5, 3, 10, -10

10, 6, -10, 10, -5, 5, -5, 6, 10, -5, 5, -10
-10, 5, -7, 10, 5, -5, 5, -2, 10, -5, 3, 10

-10, 10, 6, -10, 10, -5, 5, -5, 6, 10, -5, 5
10, -10, 5, -7, 10, 5, -5, 5, -2, 10, -5, 3

5, -10, 10, 6, -10, 10, -5, 5, -5, 6, 10, -5
3, 10, -10, 5, -7, 10, 5, -5, 5, -2, 10, -5

-5, 5, -10, 10, 6, -10, 10, -5, 5, -5, 6, 10
-5, 3, 10, -10, 5, -7, 10, 5, -5, 5, -2, 10
